file,namespace,types,base_types,method_count,field_count,using_count,top_refs
AIPlaceInfoTagillaAmbush.cs,(global),class AIPlaceInfoTagillaAmbush | enum EPointSearchType,AIPlaceInfo,6,3,3,Token:13 | RID:13 | AIPlaceInfoTagillaAmbush:6 | RVA:6 | File:6 | Offset:6 | EPointSearchType:6 | Gizmos:6
AIPlaceLogicAgroTagilla.cs,(global),class AIPlaceLogicAgroTagilla,AIPlaceInfoLogic,7,9,3,Token:17 | RID:17 | RVA:7 | File:7 | Offset:7 | Singleton:4 | Instance:4 | IdsOfVisitedPlayers:4
AIPlaceLogicEventRaise.cs,(global),class AIPlaceLogicEventRaise,AIPlaceInfoLogic,4,4,2,Token:9 | RID:9 | RVA:4 | File:4 | Offset:4 | EventName:3 | Init:2 | AIPlaceInfo:2
AIPlaceLogicPartisan.cs,(global),class AIPlaceLogicPartisan | class Class294,AIPlaceInfoLogic,7,12,7,Token:22 | RID:22 | Vector3:9 | AIPlaceLogicPartisan:8 | RVA:7 | File:7 | Offset:7 | BossLocationSpawn:7
AIPlaceWithPoint.cs,(global),class AIPlaceWithPoint,AIPlaceInfo,1,1,1,Token:3 | RID:3 | Gizmos:2 | DrawSphere:2 | System:1 | UnityEngine:1 | AIPlaceWithPoint:1 | AIPlaceInfo:1
AIPointsCounter.cs,(global),class AIPointsCounter,,8,6,3,Token:16 | RID:16 | GClass377:11 | RVA:9 | File:9 | Offset:9 | List:9 | GClass375:9
AirdropDataPacketStruct.cs,(global),struct AirdropDataPacketStruct,,0,4,1,Token:5 | RID:5 | System:1 | EFT:1 | Airdrop:1 | AirdropDataPacketStruct:1 | SignalFire:1 | EAirdropFallingStage:1
AirdropEventClass.cs,(global),class AirdropEventClass | class Class2130,AirdropManagerAbstractClass,12,11,9,Token:40 | RID:40 | RVA:19 | File:19 | Offset:19 | Gclass1423_0:15 | AirdropParameters:13 | TimerClass:12
AirdropLogicClass.cs,(global),class AirdropLogicClass,ISynchronizableObject,24,25,8,Token:59 | RID:59 | AirdropSynchronizableObject_0:41 | RVA:29 | File:29 | Offset:29 | NonSerialized:24 | Vector3:19
AirdropManagerAbstractClass.cs,(global),class AirdropManagerAbstractClass | class Class2127,IDisposable,11,8,7,Token:24 | RID:24 | AirdropPoint:19 | RVA:13 | File:13 | Offset:13 | List_1:12 | List:9
AirdropManagerClass.cs,(global),class AirdropManagerClass,AirdropManagerAbstractClass | IDisposable,5,4,2,Token:10 | RID:10 | RVA:5 | File:5 | Offset:5 | Gclass2655_0:5 | NonSerialized:4 | ManualUpdate:3
AIRequestStage.cs,(global),enum AIRequestStage,,0,0,0,Token:4 | RID:4 | System:1 | AIRequestStage:1
AirplaneDataPacketStruct.cs,(global),struct AirplaneDataPacketStruct | struct GStruct47,,0,14,4,Token:16 | RID:16 | FieldOffset:4 | System:2 | AirplaneDataPacketStruct:2 | Vector3:2 | GStruct47:2 | GClass1373:2
AirplaneLogicClass.cs,(global),class AirplaneLogicClass,ISynchronizableObject,13,27,5,Token:47 | RID:47 | NonSerialized:25 | AirplaneSynchronizableObject_0:19 | RVA:17 | File:17 | Offset:17 | BetterSource_0:13
AISearchControllerClass.cs,(global),class AISearchControllerClass,GClass2235,10,0,3,Token:15 | RID:15 | RVA:13 | File:13 | Offset:13 | EFT:3 | SearchableItemItemClass:3 | Item:3
AISoundType.cs,(global),enum AISoundType,,0,0,0,Token:4 | RID:4 | System:1 | AISoundType:1
AIStationaryController.cs,(global),class AIStationaryController,MonoBehaviour,4,1,2,Weapons:7 | Token:6 | RID:6 | StationaryWeaponLink:6 | RVA:4 | File:4 | Offset:4 | System:2
AITaskManager.cs,(global),class AITaskManager | class GClass607 | class Class284 | class Class285,,17,19,3,Token:46 | RID:46 | AITaskManager:29 | RVA:19 | File:19 | Offset:19 | GClass607:16 | Class284:14
AITester.cs,(global),class AITester | class Class147,MonoBehaviour,4,3,3,Token:11 | RID:11 | AITester:8 | RVA:5 | File:5 | Offset:5 | EAITester:4 | System:3
