file,namespace,types,base_types,method_count,field_count,using_count,top_refs
GClass2921.cs,(global),class GClass2921 | struct GStruct349 | class Class2205,GClass2905<GClass2921.GStruct349 | GInterface320>,4,6,2,Token:13 | RID:13 | GClass2921:9 | BaseAnimationHandsController_0:8 | HandsAnimator:7 | Action:5 | GStruct349:4 | RVA:4
GClass2922.cs,(global),class GClass2922,GClass2905<GStruct334 | GInterface320>,4,0,0,Token:7 | RID:7 | RVA:5 | File:5 | Offset:5 | GClass2922:3 | GStruct334:2 | GInterface320:2
GClass2923.cs,(global),class GClass2923,GClass2922,2,0,0,Token:3 | RID:3 | GClass2923:3 | RVA:2 | File:2 | Offset:2 | System:1 | GClass2922:1
GClass2924.cs,(global),class GClass2924 | struct GStruct350 | class Class2206,GClass2905<ValueTuple<Action | Action> | GClass2924.GStruct350> | GInterface320,6,4,2,Token:25 | RID:25 | Action:14 | RVA:13 | File:13 | Offset:13 | GClass2924:10 | Task:9
GClass2925.cs,(global),class GClass2925,GClass2924,3,0,0,Token:4 | RID:4 | GClass2925:3 | RVA:3 | File:3 | Offset:3 | BaseAnimationHandsController_0:2 | HandsAnimator:2
GClass2926.cs,(global),class GClass2926,GClass2905<bool | GInterface320>,3,0,0,BaseAnimationHandsController_0:11 | HandsAnimator:11 | Token:4 | RID:4 | GClass2926:3 | RVA:3 | File:3 | Offset:3
GClass2927.cs,(global),class GClass2927 | struct GStruct351 | class Class2207,GClass2905<GClass2864 | GClass2927.GStruct351> | GInterface320,6,10,3,Token:28 | RID:28 | BaseAnimationHandsController_0:17 | HandsAnimator:15 | RVA:12 | File:12 | Offset:12 | TaskCompletionClass:12
GClass2928.cs,(global),class GClass2928,GClass2905<bool | GInterface320>,3,0,0,Token:4 | RID:4 | GClass2928:3 | RVA:3 | File:3 | Offset:3 | GInterface320:2 | BaseAnimationHandsController_0:2
GClass2929.cs,(global),class GClass2929 | struct GStruct352 | class Class2208,GClass2905<GClass2866 | GClass2929.GStruct352> | GInterface320,5,7,3,Token:24 | RID:24 | RVA:11 | File:11 | Offset:11 | GClass2929:9 | Task:9 | BaseAnimationHandsController_0:8
GClass293.cs,(global),class GClass293,GClass177<GClass26>,2,3,2,Token:7 | RID:7 | Transform_0:7 | BotOwner_0:5 | RVA:3 | File:3 | Offset:3 | Bool_0:3
GClass2930.cs,(global),class GClass2930 | struct GStruct353 | class Class2209,GClass2905<GClass2867 | GClass2930.GStruct353> | GInterface320,6,8,3,Token:29 | RID:29 | RVA:14 | File:14 | Offset:14 | Task:12 | GClass2930:9 | BaseAnimationHandsController_0:7
GClass2931.cs,(global),class GClass2931 | struct GStruct354 | class Class2210,GClass2905<GClass2868 | GClass2931.GStruct354> | GInterface320,5,8,3,Token:28 | RID:28 | RVA:13 | File:13 | Offset:13 | Task:12 | GClass2931:9 | BaseAnimationHandsController_0:9
GClass2932.cs,(global),class GClass2932,GClass2905<GClass2869 | GInterface320>,3,0,0,Token:4 | RID:4 | BaseAnimationHandsController_0:4 | HandsAnimator:4 | GClass2932:3 | RVA:3 | File:3 | Offset:3
GClass2933.cs,(global),class GClass2933 | struct GStruct355 | class Class2211,GClass2905<GClass2870 | GClass2933.GStruct355> | GInterface320,6,8,3,Token:26 | RID:26 | RVA:12 | File:12 | Offset:12 | GClass2933:11 | Task:11 | BaseAnimationHandsController_0:10
GClass2934.cs,(global),class GClass2934,GClass2905<GClass2871 | GInterface320>,3,0,1,BaseAnimationHandsController_0:6 | Token:4 | RID:4 | HandsAnimator:4 | GClass2934:3 | RVA:3 | File:3 | Offset:3
GClass2935.cs,(global),class GClass2935,GClass2905<GStruct334 | GInterface320>,3,0,0,Token:6 | RID:6 | RVA:4 | File:4 | Offset:4 | GClass2935:3 | GStruct334:2 | GInterface320:2
GClass2936.cs,(global),class GClass2936 | struct GStruct356 | class Class2212,GClass2905<GClass2872 | GClass2936.GStruct356> | GInterface320,5,5,3,Token:22 | RID:22 | BaseAnimationHandsController_0:13 | HandsAnimator:12 | RVA:11 | File:11 | Offset:11 | GClass2936:9
GClass2937.cs,(global),class GClass2937 | struct GStruct357,GClass2905<GClass2937.GStruct357 | GInterface320>,4,0,1,Token:6 | RID:6 | GClass2937:5 | OnFireEnd:5 | Action:5 | RVA:4 | File:4 | Offset:4
GClass2938.cs,(global),class GClass2938 | struct GStruct358,GClass2905<GClass2874 | GClass2938.GStruct358> | GInterface320,7,11,3,Token:32 | RID:32 | RVA:15 | File:15 | Offset:15 | BaseAnimationHandsController_0:14 | Task:12 | HandsAnimator:11
GClass2939.cs,(global),class GClass2939 | struct GStruct359 | class Class2213,GClass2905<GClass2876 | GClass2939.GStruct359> | GInterface320,7,14,3,Token:39 | RID:39 | BaseAnimationHandsController_0:21 | HandsAnimator:19 | Task:18 | RVA:17 | File:17 | Offset:17
GClass294.cs,(global),class GClass294,GClass177<GClass26>,2,2,3,Token:6 | RID:6 | EInteraction:6 | RVA:3 | File:3 | Offset:3 | List_0:3 | Float_0:3
GClass2940.cs,(global),class GClass2940 | class Class2214,GClass2905<GClass2877 | GInterface320>,4,2,2,BaseAnimationHandsController_0:11 | HandsAnimator:10 | Token:8 | RID:8 | GClass2940:6 | RVA:4 | File:4 | Offset:4
GClass2941.cs,(global),class GClass2941 | class Class2215,GClass2905<ValueTuple<GClass2878 | WeaponManagerClass> | GInterface320>,8,8,3,Token:18 | RID:18 | BaseAnimationHandsController_0:11 | Action:10 | HandsAnimator:9 | RVA:8 | File:8 | Offset:8
GClass2942.cs,(global),class GClass2942 | struct GStruct360 | class Class2216,GClass2905<GClass2879 | GClass2942.GStruct360> | GInterface320,8,9,3,Token:29 | RID:29 | RVA:14 | File:14 | Offset:14 | BaseAnimationHandsController_0:13 | HandsAnimator:11 | GClass2942:9
GClass2943.cs,(global),class GClass2943 | struct GStruct361 | class Class2217,GClass2905<GClass2886 | GClass2943.GStruct361> | GInterface320,6,10,3,Token:31 | RID:31 | RVA:14 | File:14 | Offset:14 | BaseAnimationHandsController_0:13 | Task:12 | HandsAnimator:11
GClass2944.cs,(global),class GClass2944 | struct GStruct362,GClass2905<GClass2944.GStruct362 | GInterface320>,4,3,1,Token:11 | RID:11 | BaseAnimationHandsController_0:6 | GClass2944:5 | RVA:5 | File:5 | Offset:5 | HandsAnimator:4
GClass2945.cs,(global),class GClass2945 | struct GStruct363 | class Class2218,GClass2905<GClass2880 | GClass2945.GStruct363> | GInterface320,7,11,3,Token:36 | RID:36 | RVA:17 | File:17 | Offset:17 | Task:15 | Action:12 | BaseAnimationHandsController_0:10
GClass2946.cs,(global),class GClass2946,GClass2905<GClass2883 | GInterface320>,3,0,0,BaseAnimationHandsController_0:6 | HandsAnimator:6 | Token:4 | RID:4 | GClass2946:3 | RVA:3 | File:3 | Offset:3
GClass2947.cs,(global),class GClass2947,GClass2905<GClass2884 | GInterface320>,3,0,1,BaseAnimationHandsController_0:7 | HandsAnimator:6 | Token:4 | RID:4 | GClass2947:3 | RVA:3 | File:3 | Offset:3
GClass2948.cs,(global),class GClass2948,GClass2905<GClass2885 | GInterface320>,3,0,0,Token:4 | RID:4 | BaseAnimationHandsController_0:4 | HandsAnimator:4 | GClass2948:3 | RVA:3 | File:3 | Offset:3
GClass2949.cs,(global),class GClass2949,GClass2905<float | GInterface320>,3,0,1,Token:6 | RID:6 | Action:5 | RVA:4 | File:4 | Offset:4 | GClass2949:3 | Callbacks:3
GClass295.cs,(global),class GClass295,GClass177<GClass26>,2,2,2,Token:6 | RID:6 | Float_0:4 | Bool_0:4 | RVA:3 | File:3 | Offset:3 | Time:3
GClass2950.cs,(global),class GClass2950 | struct GStruct364,GClass2905<GClass2890 | GClass2950.GStruct364> | GInterface320,4,2,2,Token:11 | RID:11 | GClass2950:8 | TaskCompletionClass:7 | RVA:6 | File:6 | Offset:6 | Task:5
GClass2951.cs,(global),class GClass2951 | struct GStruct365 | class Class2219,GClass2905<GClass2891 | GClass2951.GStruct365> | GInterface320,5,8,2,Token:30 | RID:30 | RVA:14 | File:14 | Offset:14 | Task:12 | GClass2951:9 | Action:9
GClass2952.cs,(global),class GClass2952,GClass2905<GClass2892 | GInterface320>,3,0,1,Token:4 | RID:4 | GClass2952:3 | RVA:3 | File:3 | Offset:3 | GClass2892:2 | GInterface320:2
GClass2953.cs,(global),class GClass2953 | class Class2164,,4,2,3,Token:15 | RID:15 | IPlayerStateContainerBehaviour:10 | GClass2953:9 | List_0:7 | Func:6 | Class2164:6 | EPlayerState:6
GClass2954.cs,(global),class GClass2954 | class Class2165 | class Class2166,,54,54,14,Token:139 | RID:139 | Offset:69 | RVA:68 | File:68 | NonSerialized:48 | ProceduralWeaponAnimation:44 | ObservedPlayerView_0:36
GClass2955.cs,(global),class GClass2955,,4,0,4,Token:8 | RID:8 | GClass2903:7 | RVA:5 | File:5 | Offset:5 | ObservedPlayerArmors:5 | MongoID:4
GClass2956.cs,(global),class GClass2956,,6,2,3,Token:10 | RID:10 | ObservedPlayerView_0:9 | RVA:7 | File:7 | Offset:7 | CommandMessageType:6 | PlayerAnimator:4
GClass2958.cs,(global),class GClass2958,Dictionary<int | ObservedPlayerControllerClass>,2,1,3,Token:5 | RID:5 | System:4 | GClass2958:4 | RVA:3 | File:3 | Offset:3 | ObservedPlayerControllerClass:2
GClass2959.cs,(global),class GClass2959,,1,0,2,System:3 | GClass2959:3 | Token:2 | RID:2 | Task:2 | ObservedPlayerControllerClass:2 | Struct824:2 | Runtime:1
GClass296.cs,(global),class GClass296 | class Class119,GClass177<GClass26>,5,11,4,BotOwner_0:21 | Token:19 | RID:19 | AIGreandeAng:11 | NonSerialized:10 | WeaponManager:9 | Grenades:9 | Vector3:7
GClass2960.cs,(global),class GClass2960,IDisposable,5,8,5,Token:18 | RID:18 | List_0:10 | HandsControllerClass:9 | RVA:8 | File:8 | Offset:8 | Gclass999_0:8
GClass2961.cs,(global),class GClass2961 | class Class2173 | class Class2174,IDisposable,19,14,11,Token:46 | RID:46 | EquipmentSlot:29 | RVA:22 | File:22 | Offset:22 | TacticalComboVisualController:17 | GClass2961:14
GClass2962.cs,(global),class GClass2962,,4,3,4,Token:8 | RID:8 | ObservedPlayerView_0:7 | EFTHardSettings:6 | Instance:6 | RVA:4 | File:4 | Offset:4
GClass2963.cs,(global),class GClass2963,,8,3,6,Token:17 | RID:17 | EHandsControllerType:11 | RVA:10 | File:10 | Offset:10 | BaseAnimationHandsController_0:10 | CreateInstance:9
GClass2964.cs,(global),class GClass2964,GClass2963,2,0,3,Token:4 | RID:4 | GClass2964:4 | RVA:3 | File:3 | Offset:3 | System:2 | Task:2
GClass2966.cs,(global),class GClass2966 | enum EThrowState | class Class2189,GClass2963,8,9,8,Token:25 | RID:25 | GClass2966:20 | Offset:12 | RVA:9 | File:9 | HandsControllerClass:9 | EThrowState:9
GClass2967.cs,(global),class GClass2967 | class Class2197,GClass2963,17,9,9,Token:30 | RID:29 | RVA:18 | File:18 | Offset:18 | GClass2967:16 | Task:14 | KnifeCollider_0:10
GClass2968.cs,(global),class GClass2968,GClass2963,2,0,4,GClass2968:6 | Token:4 | RID:4 | System:3 | RVA:3 | File:3 | Offset:3 | Task:2
GClass2969.cs,(global),class GClass2969,GClass2963,4,1,5,Token:7 | RID:7 | GClass2969:6 | RVA:5 | File:5 | Offset:5 | Task:5 | System:4
GClass297.cs,(global),class GClass297,GClass177<GClass26>,2,4,2,Token:8 | RID:8 | BotOwner_0:5 | Bool_0:4 | NonSerialized:4 | RVA:3 | File:3 | Offset:3
GClass2970.cs,(global),class GClass2970,GClass2963,5,1,5,Token:8 | RID:8 | GClass2970:7 | RVA:6 | File:6 | Offset:6 | Ginterface323_0:5 | System:3
GClass2972.cs,(global),class GClass2972,GInterface323,3,1,2,Token:5 | RID:5 | RadioTransmitterView_0:5 | RadioTransmitterView:4 | RVA:3 | File:3 | Offset:3 | Disable:2
GClass2973.cs,(global),class GClass2973,GInterface323,3,0,1,Token:4 | RID:4 | RVA:3 | File:3 | Offset:3 | System:1 | UnityEngine:1 | GClass2973:1
GClass2974.cs,(global),class GClass2974,,4,7,2,Token:12 | RID:12 | RVA:4 | File:4 | Offset:4 | Side:3 | NickName:3 | CommandMessageType:3
GClass2975.cs,(global),class GClass2975 | class Class2199,IInventoryProfileInfo | IInventoryProfileSkillInfo,12,5,4,Token:55 | RID:55 | RVA:31 | File:31 | Offset:31 | MongoID:13 | NonSerialized:6 | Gclass2974_0:5
GClass2976.cs,(global),class GClass2976,,1,7,3,GStruct338:18 | GClass2976:12 | GStruct340:10 | GStruct339:10 | Token:9 | RID:9 | JobHandle:7 | Count:4
GClass2977.cs,(global),class GClass2977,IDisposable,11,8,3,Token:21 | RID:21 | Offset:14 | RVA:12 | File:12 | Gclass2958_0:10 | GStruct338:9 | GClass2978:7
GClass2978.cs,(global),class GClass2978,,9,9,0,GClass2978:32 | Token:19 | RID:19 | GClass2979:12 | RVA:9 | File:9 | Offset:9 | NonSerialized:9
GClass2979.cs,(global),class GClass2979,,3,2,0,Token:7 | RID:7 | RVA:4 | File:4 | Offset:4 | DateTime_0:4 | DateTime:4 | GClass2979:2
GClass298.cs,(global),class GClass298,GClass177<GClass26>,2,2,2,BotOwner_0:9 | Token:6 | RID:6 | Time:4 | RVA:3 | File:3 | Offset:3 | Float_1:3
GClass2980.cs,(global),class GClass2980,,6,3,4,ObservedPlayerStateContext:27 | Token:18 | RID:18 | RVA:11 | File:11 | Offset:11 | InteractionDoorResult:5 | GStruct342:4
GClass2981.cs,(global),class GClass2981,GInterface319,45,47,10,Token:194 | RID:194 | RVA:103 | File:103 | Offset:103 | EPlayerState:68 | NonSerialized:46 | EMovementDirection:36
GClass2982.cs,(global),class GClass2982,,10,13,3,Token:46 | RID:46 | RVA:23 | File:23 | Offset:23 | EPlayerState:13 | NonSerialized:13 | CurrentMovementState:8
GClass2984.cs,(global),class GClass2984,,0,0,1,T:12 | GStruct382:6 | Token:3 | RID:3 | System:2 | RVA:2 | File:2 | Offset:2
GClass2985.cs,(global),class GClass2985,,0,1,0,Token:2 | RID:2 | System:1 | GClass2985:1 | MAX_FRAME_INDEX:1
GClass2986.cs,(global),class GClass2986,,1,0,0,Serialize:3 | Token:2 | RID:2 | EnableInventory:2 | System:1 | GClass2986:1 | RVA:1 | File:1
GClass2987.cs,(global),class GClass2987,,1,0,0,Serialize:4 | Token:2 | RID:2 | HideWeapon:2 | System:1 | GClass2987:1 | RVA:1 | File:1
GClass2988.cs,(global),class GClass2988,,1,0,0,Serialize:3 | Token:2 | RID:2 | Toggle:2 | System:1 | GClass2988:1 | RVA:1 | File:1
GClass2989.cs,(global),class GClass2989,,1,0,2,Serialize:9 | Token:2 | RID:2 | EBodyPart:2 | ArmorPlateCollider:2 | ServerFrame:2 | System:1 | BitPacking:1
GClass299.cs,(global),class GClass299 | class Class120,GClass177<GClass26>,4,3,3,Token:10 | RID:10 | Melee:10 | Action:10 | KnifeController:9 | ComboPlanning:6 | GClass299:5 | RVA:5
GClass2990.cs,(global),class GClass2990,,1,1,1,Serialize:11 | HitsForApproval:4 | Token:3 | RID:3 | GStruct379:3 | Gesture:2 | EInteraction:2 | System:1
GClass2991.cs,(global),class GClass2991,,1,0,0,Serialize:9 | Token:2 | RID:2 | Gesture:2 | EInteraction:2 | System:1 | GClass2991:1 | RVA:1
GClass2992.cs,(global),class GClass2992,,1,0,0,Serialize:5 | Token:2 | RID:2 | Gesture:2 | EInteraction:2 | System:1 | GClass2992:1 | RVA:1
GClass2993.cs,(global),class GClass2993,,1,1,1,AmmoIds:4 | Token:3 | RID:3 | Serialize:2 | Reload:2 | StreamMode:2 | EBitStreamMode:2 | Length:2
GClass2994.cs,(global),class GClass2994,,1,4,1,Serialize:8 | GStruct136:8 | Token:6 | RID:6 | GClass2994:5 | BitPackingTag:4 | DurationSettings:3 | BulletMassGram:2
GClass2995.cs,(global),class GClass2995,,1,0,0,Serialize:5 | Token:2 | RID:2 | WasShot:2 | System:1 | GClass2995:1 | RVA:1 | File:1
GClass2996.cs,(global),class GClass2996,,1,0,0,Serialize:4 | Token:2 | RID:2 | HasCriticalData:2 | System:1 | GClass2996:1 | RVA:1 | File:1
GClass2997.cs,(global),class GClass2997,,1,1,1,Token:3 | RID:3 | Serialize:3 | HasPhrase:2 | System:1 | BitPacking:1 | GClass2997:1 | RVA:1
GClass2998.cs,(global),class GClass2998,,2,10,3,Serialize:24 | Token:13 | RID:13 | GClass2998:10 | GStruct136:10 | BitPackingTag:9 | GStruct444:8 | ServerFrame:4
GClass2999.cs,(global),class GClass2999,,1,0,2,Serialize:6 | Token:2 | RID:2 | HasThrowData:2 | ThrowGrenadeRotation:2 | System:1 | BitPacking:1 | UnityEngine:1
GClass3.cs,(global),class GClass3,,0,2,0,Token:3 | RID:3 | System:1 | GClass3:1
GClass30.cs,(global),class GClass30,GClass26,0,2,1,Token:4 | RID:4 | GClass30:2 | Vector3:2 | Point:2 | System:1 | UnityEngine:1 | GClass26:1
GClass300.cs,(global),class GClass300,GClass177<GClass26>,1,4,1,Token:7 | RID:7 | NonSerialized:3 | GClass300:2 | GClass26:2 | RVA:2 | File:2 | Offset:2
GClass3000.cs,(global),class GClass3000,,1,0,0,Serialize:17 | Token:2 | RID:2 | Gesture:2 | EInteraction:2 | System:1 | GClass3000:1 | RVA:1
GClass3001.cs,(global),class GClass3001,,1,0,0,Serialize:16 | Token:2 | RID:2 | IsAlive:2 | System:1 | GClass3001:1 | RVA:1 | File:1
GClass3002.cs,(global),class GClass3002,,1,0,0,Serialize:6 | Token:2 | RID:2 | System:1 | GClass3002:1 | RVA:1 | File:1 | Offset:1
GClass3003.cs,(global),class GClass3003,,1,0,1,Token:2 | RID:2 | BitPackingTag:2 | System:1 | BitPacking:1 | GClass3003:1 | RVA:1 | File:1
GClass3004.cs,(global),class GClass3004,,1,0,1,Token:2 | RID:2 | BitPackingTag:2 | System:1 | BitPacking:1 | GClass3004:1 | RVA:1 | File:1
GClass3005.cs,(global),class GClass3005,,1,0,1,Serialize:7 | Token:2 | RID:2 | EDamageType:2 | DamageType:2 | System:1 | EFT:1 | GClass3005:1
GClass3006.cs,(global),class GClass3006,,1,0,2,Serialize:5 | Token:2 | RID:2 | EOperationStatus:2 | Status:2 | System:1 | BitPacking:1 | EFT:1
GClass3007.cs,(global),class GClass3007,,1,0,3,Serialize:4 | SerializeLimitedInt32:3 | BitPackingTag:3 | EFT:2 | Token:2 | RID:2 | System:1 | BitPacking:1
GClass3009.cs,(global),class GClass3009 | class in | class BodyPartState | class Class2234 | class Class2235 | struct Struct885 | struct Struct886 | class HealControllerLogger | class Class2236 | class Class2237 | class Class2238 | class Class2239 | class Class2240 | class Class2241 | class Class2242 | class Class2243 | class Class2244,IComparable<GClass3009<T>.Class2234> | LoggerClass,67,54,11,Token:267 | RID:267 | RVA:110 | File:110 | Offset:110 | EBodyPart:101 | T:92 | GClass3009:75
GClass301.cs,(global),class GClass301,GClass177<GClass26>,1,3,2,Vector3_0:7 | Token:6 | RID:6 | Bool_0:4 | Vector3:4 | Float_0:3 | NonSerialized:3 | GClass301:2
GClass3010.cs,(global),class GClass3010 | class Class2267,ActiveHealthController,7,4,5,Token:17 | RID:17 | RVA:10 | File:10 | Offset:10 | GClass3010:6 | GInterface203:6 | Class2267:5
GClass3012.cs,(global),class GClass3012 | class Class2268 | class Class2269,NetworkHealthControllerAbstractClass,7,7,6,Token:23 | RID:23 | List_1:16 | RVA:11 | File:11 | Offset:11 | GClass3012:9 | ClientPlayer_0:6
GClass3017.cs,(global),class GClass3017,,2,0,3,Item:4 | Token:3 | RID:3 | Error:3 | CommandStatus:3 | RVA:2 | File:2 | Offset:2
GClass3018.cs,(global),class GClass3018 | class Class2254,,16,1,5,EStimulatorBuffType:33 | IPlayerBuff:27 | Token:25 | RID:25 | RVA:16 | File:16 | Offset:16 | GClass3018:13
GClass3019.cs,(global),class GClass3019 | class GClass3020 | class GClass3021 | class GClass3022 | class GClass3023 | class GClass3024 | class GClass3025 | class GClass3026 | class GClass3027 | class GClass3028 | class GClass3029 | class GClass3030 | class GClass3031 | class GClass3032 | class GClass3033 | class GClass3034 | class GClass3035 | class GClass3036 | class GClass3037 | class GClass3038 | class GClass3039 | class GClass3040 | class GClass3041 | class GClass3042 | class GClass3043 | class GClass3044 | class GClass3045 | class GClass3046 | class GClass3047 | class GClass3048 | class GClass3049 | class GClass3050 | class ZombieInfectionSettings,ICloneable,6,131,5,Token:177 | RID:177 | GClass3019:46 | Append:15 | Duration:14 | Localized:14 | DefaultResidueTime:10 | Value:10
GClass302.cs,(global),class GClass302,GClass301,1,0,1,Token:3 | RID:3 | GClass302:2 | RVA:2 | File:2 | Offset:2 | UpdateNodeByBrain:2 | System:1
GClass303.cs,(global),class GClass303 | class Class121,GClass177<GClass26>,3,3,3,Token:10 | RID:10 | BotOwner_0:9 | GClass303:5 | RVA:4 | File:4 | Offset:4 | CustomNavigationPoint_0:4
GClass304.cs,(global),class GClass304,GClass177<GClass26>,3,6,3,BotOwner_0:16 | Token:11 | RID:11 | Vector3_1:9 | Float_1:6 | Vector3_0:6 | NonSerialized:6 | GameObject:5
GClass305.cs,(global),class GClass305,GClass177<GClass26>,8,7,2,BotOwner_0:47 | WeaponManager:26 | Stationary:26 | Token:17 | RID:17 | CurLink:12 | RVA:9 | File:9
GClass3051.cs,(global),class GClass3051,,5,18,2,EDamageType:46 | Token:24 | RID:24 | DamageInfoStruct:24 | DamageType:12 | GClass3051:8 | RVA:5 | File:5
GClass3052.cs,(global),class GClass3052,,0,2,1,Token:3 | RID:3 | System:2 | Collections:1 | Generic:1 | GClass3052:1 | Health:1 | List:1
GClass3054.cs,(global),class GClass3054,,0,1,0,Token:11 | RID:11 | RVA:5 | File:5 | Offset:5 | Text:3 | NameDisplay:3 | GClass3054:2
GClass3055.cs,(global),class GClass3055 | class Class2255,GClass3054,2,3,3,Token:18 | RID:18 | RVA:8 | File:8 | Offset:8 | Float_0:8 | GClass3055:6 | Func_0:6
GClass3056.cs,(global),class GClass3056 | enum EBuffType | class Class2256 | class Class2257 | class Class2258 | class Class2259,,10,14,5,Token:42 | RID:42 | RVA:16 | File:16 | Offset:16 | Action:16 | GClass3056:15 | GClass3054:10
GClass3057.cs,(global),class GClass3057,,0,2,0,Token:3 | RID:3 | System:1 | GClass3057:1 | EBodyPart:1
GClass3058.cs,(global),class GClass3058 | class GClass3059 | class Class2260 | class GClass3060 | class Class2261 | class Class2262 | class Class2263 | class Class2264 | class Class2265 | class Class2266,,25,14,6,Token:56 | RID:56 | GClass3058:40 | Type:37 | RVA:25 | File:25 | Offset:25 | Func:20
GClass306.cs,(global),class GClass306,GClass305,1,0,1,BotOwner_0:5 | WeaponManager:4 | Stationary:4 | Token:3 | RID:3 | GClass306:2 | RVA:2 | File:2
GClass3061.cs,(global),class GClass3061,,3,0,2,Data:58 | NetworkHealthSyncPacketStruct:34 | Serialize:31 | BitPackingTag:25 | ESyncType:21 | AddEffect:14 | SerializeLimitedFloat:14 | SerializeLimitedInt32:9
GClass3062.cs,(global),class GClass3062,HealthValue,0,2,3,Token:8 | RID:8 | Value:8 | Current:7 | RVA:4 | File:4 | Offset:4 | Float_0:4
GClass3063.cs,(global),class GClass3063,,13,5,3,Token:23 | RID:23 | RVA:13 | File:13 | Offset:13 | Gclass3073_0:6 | NetworkChannel:6 | NonSerialized:5
GClass3064.cs,(global),class GClass3064,GClass3063,5,2,1,Token:12 | RID:12 | Gclass3071_0:9 | GClass3064:7 | RVA:7 | File:7 | Offset:7 | Gclass3064_0:4
GClass3065.cs,(global),class GClass3065,GClass3063,5,1,2,Token:10 | RID:10 | GClass3065:7 | RVA:6 | File:6 | Offset:6 | GClass3071:6 | Dictionary_0:5
GClass3066.cs,(global),class GClass3066,,12,6,0,Token:20 | RID:20 | ArraySegment:16 | Offset:15 | RVA:11 | File:11 | Encrypt:9 | Decrypt:9
GClass3068.cs,(global),class GClass3068,,5,0,1,ArraySegment:8 | Token:6 | RID:6 | Offset:6 | Get:6 | RVA:5 | File:5 | GClass3068:3
GClass3069.cs,(global),class GClass3069,,1,0,0,T:19 | Token:6 | RID:6 | RVA:5 | File:5 | Offset:5 | Attribute1:4 | ValueType:4
GClass307.cs,(global),class GClass307,GClass177<GClass26>,1,1,2,Token:4 | RID:4 | Float_0:3 | GClass307:2 | GClass26:2 | RVA:2 | File:2 | Offset:2
GClass3070.cs,(global),class GClass3070,,0,22,0,Token:23 | RID:23 | System:1 | GClass3070:1 | CONNECTION_LIMIT:1 | ConnectionLimit:1 | PACKET_SIZE:1 | PacketSize:1
GClass3071.cs,(global),class GClass3071,,15,6,3,Token:39 | RID:39 | Offset:27 | RVA:26 | File:26 | NetworkChannel:13 | Send:12 | HostIndex:9
GClass3072.cs,(global),class GClass3072,,0,6,0,Token:7 | RID:7 | System:1 | GClass3072:1 | ResourceBufferSize:1 | ResourceBufferFullSize:1 | PlayersLimiter:1 | WaitTimeout:1
GClass3073.cs,(global),class GClass3073,,5,0,2,GStruct416:10 | Dictionary_0:10 | Action:9 | Token:7 | RID:7 | RVA:5 | File:5 | Offset:5
GClass3074.cs,(global),class GClass3074 | struct GStruct417,,0,8,0,Token:10 | RID:10 | GClass3074:3 | GStruct417:3 | DynamicAdjustmentTolerance:2 | DeliveryTimeEmaDuration:2 | CatchupNegativeThreshold:2 | CatchupPositiveThreshold:2
GClass3075.cs,(global),class GClass3075,,5,9,1,Token:23 | RID:23 | T:23 | RVA:9 | File:9 | Offset:9 | NonSerialized:9 | Gstruct417_0:8
GClass3076.cs,(global),class GClass3076,GClass3075<GStruct329>,0,0,0,Token:2 | RID:2 | GClass3076:2 | System:1 | GClass3075:1 | GStruct329:1 | RVA:1 | File:1
GClass3077.cs,(global),class GClass3077,,8,1,0,Token:11 | RID:11 | RVA:9 | File:9 | Offset:9 | GClass3077:2 | GClass3085:2 | Connection:2
GClass3078.cs,(global),class GClass3078,GClass3077,9,2,1,Connection:30 | Token:14 | RID:14 | RVA:11 | File:11 | Offset:11 | Bool_1:7 | Buffer:6
GClass3079.cs,(global),class GClass3079,GClass3077,8,4,1,Connection:21 | Token:14 | RID:14 | RVA:9 | File:9 | Offset:9 | Bool_0:5 | Bool_1:5
GClass308.cs,(global),class GClass308 | class Class1007,GClass177<GClass27>,3,6,4,Token:14 | RID:14 | BotOwner_0:10 | DebugMarker:8 | GClass308:6 | Transform_0:5 | Class1007:5 | NonSerialized:5
GClass3080.cs,(global),class GClass3080,GClass3077,1,1,0,Connection:6 | Token:4 | RID:4 | Byte_0:4 | GClass3080:2 | RVA:2 | File:2 | Offset:2
GClass3081.cs,(global),class GClass3081,GClass3077,3,0,1,Connection:7 | Token:5 | RID:5 | RVA:4 | File:4 | Offset:4 | GClass3081:2 | Exit:2
GClass3082.cs,(global),class GClass3082,GClass3077,7,0,0,Connection:16 | Token:9 | RID:9 | RVA:8 | File:8 | Offset:8 | GClass3082:2 | Enter:2
GClass3083.cs,(global),class GClass3083,IPEndPoint,4,1,2,Token:8 | RID:8 | RVA:6 | File:6 | Offset:6 | SocketAddress:6 | Family:5 | AddressFamily:5
GClass3084.cs,(global),class GClass3084,,3,0,2,Token:4 | RID:4 | System:3 | RVA:3 | File:3 | Offset:3 | Socket:3 | GClass3083:3
GClass3085.cs,(global),class GClass3085,,38,27,7,Token:79 | RID:79 | Offset:47 | RVA:45 | File:45 | Gclass3097_0:35 | Array:26 | Address:24
GClass3086.cs,(global),class GClass3086,,20,11,6,Token:42 | RID:42 | GClass3085:33 | RVA:24 | File:24 | Offset:24 | NonSerialized:13 | Dictionary_0:8
